Pos,ID,Name,BV,SV,Team,30_xMins,31_xMins,32_xMins,33_xMins,34_xMins,35_xMins,36_xMins,37_xMins,38_xMins,30_eo,31_eo,32_eo,33_eo,34_eo,35_eo,36_eo,37_eo,38_eo
G,1,Raya,6.0,6.0,Arsenal,89.10,0.00,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.54,0.00,0.55,0.55,0.00,0.55,0.55,0.55,0.55
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,0.00,1.20,2.40,0.00,1.20,1.20,1.20,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,7.1,7.1,Arsenal,84.45,0.00,84.45,168.90,0.00,84.45,84.45,84.45,84.45,1.02,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00
D,6,Saliba,6.1,6.1,Arsenal,84.45,0.00,84.45,168.90,0.00,84.45,84.45,84.45,84.45,0.03,0.00,0.03,0.03,0.00,0.03,0.03,0.03,0.03
D,7,Calafiori,5.6,5.6,Arsenal,22.20,0.00,22.20,44.40,0.00,22.20,22.20,22.20,22.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,8,J.Timber,6.3,6.3,Arsenal,82.50,0.00,82.50,165.00,0.00,82.50,82.50,82.50,82.50,0.28,0.00,0.31,0.31,0.00,0.31,0.31,0.31,0.31
D,10,Lewis-Skelly,5.1,5.1,Arsenal,9.45,0.00,9.45,18.90,0.00,9.45,9.45,9.45,9.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,11,White,5.1,5.1,Arsenal,4.65,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.7,3.7,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,9.8,9.8,Arsenal,77.10,0.00,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.01,0.00,0.02,0.02,0.00,0.02,0.02,0.02,0.02
M,17,Ødegaard,7.8,7.8,Arsenal,46.50,0.00,63.30,126.60,0.00,63.30,63.30,63.30,63.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,18,Madueke,6.8,6.8,Arsenal,26.40,0.00,26.40,52.80,0.00,26.40,26.40,26.40,26.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,19,Martinelli,6.8,6.8,Arsenal,19.20,0.00,19.20,38.40,0.00,19.20,19.20,19.20,19.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,20,Trossard,6.7,6.7,Arsenal,60.60,0.00,60.60,121.20,0.00,60.60,60.60,60.60,60.60,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01
M,21,Rice,7.5,7.5,Arsenal,75.75,0.00,84.00,168.00,0.00,84.00,84.00,84.00,84.00,0.50,0.00,0.34,0.34,0.00,0.34,0.34,0.34,0.34
M,22,Merino,5.4,5.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,24,Nørgaard,5.1,5.1,Arsenal,11.10,0.00,4.65,9.30,0.00,4.65,4.65,4.65,4.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,26,Zubimendi,5.2,5.2,Arsenal,83.25,0.00,83.25,166.50,0.00,83.25,83.25,83.25,83.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,27,Nelson,4.8,4.8,Brentford,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,30,Havertz,7.3,7.3,Arsenal,32.70,0.00,32.70,65.40,0.00,32.70,32.70,32.70,32.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,31,G.Jesus,6.4,6.4,Arsenal,27.15,0.00,27.15,54.30,0.00,27.15,27.15,27.15,27.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.1,5.1,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,36,Cash,4.8,4.8,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
D,37,Digne,4.5,4.5,Aston Villa,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,38,Konsa,4.4,4.4,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,39,Maatsen,4.2,4.2,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,40,Mings,4.3,4.3,Aston Villa,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,76.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,41,Pau,4.3,4.3,Aston Villa,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,56.40,42.60,15.60,15.60,15.60,15.60,15.60,15.60,15.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,47,Rogers,7.6,7.6,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,0.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,49,Bailey,5.5,5.5,Aston Villa,62.25,12.90,12.90,12.90,12.90,12.90,12.90,12.90,12.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,50,Buendía,5.3,5.3,Aston Villa,79.05,75.45,38.40,38.40,38.40,38.40,38.40,38.40,38.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,52,J.Ramsey,5.3,5.3,Newcastle,33.00,33.00,26.10,52.20,0.00,26.10,26.10,26.10,26.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,54,McGinn,5.4,5.4,Aston Villa,0.00,0.00,75.45,75.45,75.45,75.45,75.45,75.45,75.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,55,Barkley,4.8,4.8,Aston Villa,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,12.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,58,Kamara,4.9,4.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,59,Onana,4.8,4.8,Aston Villa,79.80,79.80,28.50,28.50,28.50,28.50,28.50,28.50,28.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,64,Watkins,8.5,8.5,Aston Villa,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,77.10,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
G,69,McKenna,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,4.9,4.9,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
D,73,Smith,4.4,4.4,Bournemouth,22.20,22.20,18.90,18.90,18.90,18.90,18.90,18.90,18.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,74,Truffert,4.6,4.6,Bournemouth,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,86.70,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,75,Akinmboni,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.8,3.8,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.1,4.1,Bournemouth,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16
D,80,Soler,4.0,4.0,Bournemouth,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,81,Kluivert,7.0,7.0,Bournemouth,0.00,0.00,54.60,54.60,54.60,54.60,54.60,54.60,54.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,82,Semenyo,8.2,8.2,Man City,81.60,0.00,81.60,163.20,0.00,81.60,161.85,81.60,81.60,0.18,0.00,0.20,0.20,0.00,0.20,0.20,0.20,0.20
M,83,O.Dango,6.0,6.0,Brentford,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,77.40,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32
M,84,Tavernier,5.3,5.3,Bournemouth,79.05,79.05,75.15,75.15,75.15,75.15,75.15,75.15,75.15,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
M,85,Adams,4.9,4.9,Bournemouth,81.90,81.90,74.85,74.85,74.85,74.85,74.85,74.85,74.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,86,Brooks,5.0,5.0,Bournemouth,34.35,34.35,37.50,37.50,37.50,37.50,37.50,37.50,37.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,87,Christie,4.9,4.9,Bournemouth,25.80,25.80,18.90,18.90,18.90,18.90,18.90,18.90,18.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,88,Cook,4.9,4.9,Bournemouth,0.00,0.00,17.85,17.85,17.85,17.85,17.85,17.85,17.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,90,Scott,5.1,5.1,Bournemouth,81.90,81.90,72.60,72.60,72.60,72.60,72.60,72.60,72.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,97,Evanilson,6.8,6.8,Bournemouth,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,70.65,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
F,98,Enes Ünal,5.4,5.4,Bournemouth,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,100,Kroupi.Jr,4.7,4.7,Bournemouth,42.60,42.60,33.00,33.00,33.00,33.00,33.00,33.00,33.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
G,101,Kelleher,4.7,4.7,Brentford,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,0.18,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
G,102,Balcombe,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,104,Eyestone,3.9,3.9,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,105,Valdimarsson,3.9,3.9,Brentford,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,106,Collins,4.9,4.9,Brentford,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,23.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,107,Lewis-Potter,4.8,4.8,Brentford,40.80,40.80,33.90,33.90,33.90,33.90,33.90,33.90,33.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,108,Ajer,4.4,4.4,Brentford,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,80.25,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,109,Henry,4.3,4.3,Brentford,81.60,81.60,75.15,75.15,75.15,75.15,75.15,75.15,75.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,110,Kayode,4.5,4.5,Brentford,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,82.65,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
D,111,Pinnock,4.2,4.2,Brentford,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,113,Van den Berg,4.5,4.5,Brentford,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,79.95,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
D,116,Hickey,4.0,4.0,Brentford,0.00,0.00,20.85,20.85,20.85,20.85,20.85,20.85,20.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,119,Mbeumo,8.7,8.7,Man Utd,80.40,80.40,78.45,78.45,78.45,78.45,78.45,78.45,78.45,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
M,120,Schade,6.9,6.9,Brentford,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,78.75,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
M,121,Damsgaard,5.6,5.6,Brentford,78.75,78.75,43.80,43.80,43.80,43.80,43.80,43.80,43.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,122,Milambo,5.2,5.2,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,123,Carvalho,4.7,4.7,Brentford,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,124,Henderson,5.0,5.0,Brentford,60.75,60.75,25.05,25.05,25.05,25.05,25.05,25.05,25.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,125,Janelt,4.9,4.9,Brentford,0.00,0.00,79.20,79.20,79.20,79.20,79.20,79.20,79.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,126,Jensen,4.9,4.9,Brentford,81.90,81.90,69.30,69.30,69.30,69.30,69.30,69.30,69.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,129,Yarmoliuk,5.0,5.0,Brentford,79.80,79.80,78.45,78.45,78.45,78.45,78.45,78.45,78.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,130,Donovan,4.4,4.4,Brentford,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,135,Wissa,7.3,7.3,Newcastle,44.55,44.55,40.80,81.60,0.00,40.80,40.80,40.80,40.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,136,Thiago,7.2,7.2,Brentford,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,83.40,0.78,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76
G,138,Steele,4.2,4.2,Brighton,0.90,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,139,Verbruggen,4.5,4.5,Brighton,89.10,89.10,89.10,178.20,0.00,89.10,89.10,89.10,89.10,0.07,0.06,0.06,0.06,0.00,0.06,0.06,0.06,0.06
G,140,McGill,3.9,3.9,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,143,Boscagli,4.2,4.2,Brighton,5.85,5.85,5.85,11.70,0.00,5.85,5.85,5.85,5.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,145,De Cuyper,4.3,4.3,Brighton,15.75,15.75,15.75,31.50,0.00,15.75,15.75,15.75,15.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,146,Dunk,4.5,4.5,Brighton,84.45,84.45,84.45,168.90,0.00,84.45,84.45,84.45,84.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,148,F.Kadıoğlu,4.4,4.4,Brighton,84.75,84.75,84.75,169.50,0.00,84.75,84.75,84.75,84.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,149,Igor,4.5,4.5,Brighton,3.60,3.60,3.60,7.20,0.00,3.60,3.60,3.60,3.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,151,Van Hecke,4.4,4.4,Brighton,86.70,86.70,86.70,173.40,0.00,86.70,86.70,86.70,86.70,0.05,0.03,0.03,0.03,0.00,0.03,0.03,0.03,0.03
D,152,Veltman,4.3,4.3,Brighton,39.90,39.90,39.90,79.80,0.00,39.90,39.90,39.90,39.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,153,Webster,4.4,4.4,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,156,Tasker,3.8,3.8,Brighton,0.30,0.30,0.30,0.60,0.00,0.30,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,157,Mitoma,6.1,6.1,Brighton,81.90,81.90,81.90,163.80,0.00,81.90,81.90,81.90,81.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,158,Georginio,5.6,5.6,Brighton,28.95,28.95,28.95,57.90,0.00,28.95,28.95,28.95,28.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,159,March,5.8,5.8,Brighton,3.00,3.00,3.00,6.00,0.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,160,Minteh,5.5,5.5,Brighton,24.45,24.45,24.45,48.90,0.00,24.45,24.45,24.45,24.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,163,Hinshelwood,5.1,5.1,Brighton,55.65,55.65,55.65,111.30,0.00,55.65,55.65,55.65,55.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,164,O'Riley,5.5,5.5,Brighton,16.05,16.05,16.05,32.10,0.00,16.05,16.05,16.05,16.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,166,Ayari,4.8,4.8,Brighton,42.60,42.60,42.60,85.20,0.00,42.60,42.60,42.60,42.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,167,Baleba,4.5,4.5,Brighton,51.30,51.30,51.30,102.60,0.00,51.30,51.30,51.30,51.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,168,Buonanotte,4.6,4.6,Leeds United,10.20,10.20,10.20,10.20,10.20,10.20,10.20,0.00,10.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,169,Gomez,4.9,4.9,Brighton,68.70,68.70,68.70,137.40,0.00,68.70,68.70,68.70,68.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,170,Milner,4.9,4.9,Brighton,20.10,20.10,20.10,40.20,0.00,20.10,20.10,20.10,20.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,173,Wieffer,4.9,4.9,Brighton,48.75,48.75,48.75,97.50,0.00,48.75,48.75,48.75,48.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,178,Welbeck,6.1,6.1,Brighton,77.10,77.10,77.10,154.20,0.00,77.10,77.10,77.10,77.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,180,Tzimas,5.2,5.2,Brighton,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,181,Kostoulas,4.8,4.8,Brighton,16.50,16.50,16.50,33.00,0.00,16.50,16.50,16.50,16.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,182,Trafford,4.5,4.5,Man City,0.90,0.00,0.90,1.80,0.00,0.90,1.80,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,183,Weiss,4.3,4.3,Burnley,0.90,0.90,0.90,1.80,0.00,0.90,0.90,0.90,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,185,Hladký,3.9,3.9,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,186,Roberts,4.4,4.4,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
